2025/11/12 01:39:39 [notice] 1#1: using the "epoll" event method
2025/11/12 01:39:39 [notice] 1#1: nginx/1.29.3
2025/11/12 01:39:39 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/11/12 01:39:39 [notice] 1#1: OS: Linux 5.15.153.1-microsoft-standard-WSL2
2025/11/12 01:39:39 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/11/12 01:39:39 [notice] 1#1: start worker processes
2025/11/12 01:39:39 [notice] 1#1: start worker process 30
2025/11/12 01:39:39 [notice] 1#1: start worker process 31
2025/11/12 01:39:39 [notice] 1#1: start worker process 32
2025/11/12 01:39:39 [notice] 1#1: start worker process 33
2025/11/12 01:39:39 [notice] 1#1: start worker process 34
2025/11/12 01:39:39 [notice] 1#1: start worker process 35
2025/11/12 01:39:39 [notice] 1#1: start worker process 36
2025/11/12 01:39:39 [notice] 1#1: start worker process 37
2025/11/12 01:39:39 [notice] 1#1: start worker process 38
2025/11/12 01:39:39 [notice] 1#1: start worker process 39
2025/11/12 01:39:39 [notice] 1#1: start worker process 40
2025/11/12 01:39:39 [notice] 1#1: start worker process 41
2025/11/12 01:39:39 [notice] 1#1: start worker process 42
2025/11/12 01:39:39 [notice] 1#1: start worker process 43
2025/11/12 01:39:39 [notice] 1#1: start worker process 44
2025/11/12 01:39:39 [notice] 1#1: start worker process 45
